DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size4k_assoc1,bsize128_size4k_assoc1,dijkstra,54881769,340169876,6.1982,0.01193,0.01095
Lab1-Task2/bsize128_size4k_assoc1,bsize128_size4k_assoc1,qsort,41898644,586390296,13.9954,0.04467,0.03809
Lab1-Task2/bsize128_size4k_assoc1,bsize128_size4k_assoc1,stringsearch-cabce,300884,3569999,11.8650,0.05104,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size4k_assoc2,bsize128_size4k_assoc2,dijkstra,54881769,345390776,6.2934,0.01181,0.01095
Lab1-Task2/bsize128_size4k_assoc2,bsize128_size4k_assoc2,qsort,41898644,439881336,10.4987,0.02535,0.03809
Lab1-Task2/bsize128_size4k_assoc2,bsize128_size4k_assoc2,stringsearch-cabce,300884,3217570,10.6937,0.04498,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size4k_assoc4,bsize128_size4k_assoc4,dijkstra,54881769,344777357,6.2822,0.01183,0.01095
Lab1-Task2/bsize128_size4k_assoc4,bsize128_size4k_assoc4,qsort,41898644,375476119,8.9615,0.01600,0.03809
Lab1-Task2/bsize128_size4k_assoc4,bsize128_size4k_assoc4,stringsearch-cabce,300884,3364710,11.1827,0.04673,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size4k_assoc8,bsize128_size4k_assoc8,dijkstra,54881769,344788370,6.2824,0.01183,0.01095
Lab1-Task2/bsize128_size4k_assoc8,bsize128_size4k_assoc8,qsort,41898644,392137575,9.3592,0.01791,0.03809
Lab1-Task2/bsize128_size4k_assoc8,bsize128_size4k_assoc8,stringsearch-cabce,300884,3577278,11.8892,0.05039,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size8k_assoc1,bsize128_size8k_assoc1,dijkstra,54881769,293556357,5.3489,0.00730,0.01095
Lab1-Task2/bsize128_size8k_assoc1,bsize128_size8k_assoc1,qsort,41898644,399969236,9.5461,0.02034,0.03809
Lab1-Task2/bsize128_size8k_assoc1,bsize128_size8k_assoc1,stringsearch-cabce,300884,2789556,9.2712,0.03796,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size8k_assoc2,bsize128_size8k_assoc2,dijkstra,54881769,302550854,5.5128,0.00784,0.01095
Lab1-Task2/bsize128_size8k_assoc2,bsize128_size8k_assoc2,qsort,41898644,374608115,8.9408,0.01724,0.03809
Lab1-Task2/bsize128_size8k_assoc2,bsize128_size8k_assoc2,stringsearch-cabce,300884,2156392,7.1669,0.02511,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size8k_assoc4,bsize128_size8k_assoc4,dijkstra,54881769,264602557,4.8213,0.00441,0.01095
Lab1-Task2/bsize128_size8k_assoc4,bsize128_size8k_assoc4,qsort,41898644,265135697,6.3280,0.00216,0.03809
Lab1-Task2/bsize128_size8k_assoc4,bsize128_size8k_assoc4,stringsearch-cabce,300884,2048044,6.8068,0.02263,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size8k_assoc8,bsize128_size8k_assoc8,dijkstra,54881769,290274762,5.2891,0.00660,0.01095
Lab1-Task2/bsize128_size8k_assoc8,bsize128_size8k_assoc8,qsort,41898644,245996629,5.8712,0.00001,0.03809
Lab1-Task2/bsize128_size8k_assoc8,bsize128_size8k_assoc8,stringsearch-cabce,300884,1853136,6.1590,0.02006,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size16k_assoc1,bsize128_size16k_assoc1,dijkstra,54881769,248036110,4.5195,0.00240,0.01095
Lab1-Task2/bsize128_size16k_assoc1,bsize128_size16k_assoc1,qsort,41898644,263122079,6.2800,0.00240,0.03809
Lab1-Task2/bsize128_size16k_assoc1,bsize128_size16k_assoc1,stringsearch-cabce,300884,1855065,6.1654,0.01983,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size16k_assoc2,bsize128_size16k_assoc2,dijkstra,54881769,242742593,4.4230,0.00177,0.01095
Lab1-Task2/bsize128_size16k_assoc2,bsize128_size16k_assoc2,qsort,41898644,254457624,6.0732,0.00120,0.03809
Lab1-Task2/bsize128_size16k_assoc2,bsize128_size16k_assoc2,stringsearch-cabce,300884,1197637,3.9804,0.00885,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize128_size16k_assoc4,bsize128_size16k_assoc4,dijkstra,54881769,223424223,4.0710,0.00013,0.01095
Lab1-Task2/bsize128_size16k_assoc4,bsize128_size16k_assoc4,qsort,41898644,245975413,5.8707,0.00001,0.03809
Lab1-Task2/bsize128_size16k_assoc4,bsize128_size16k_assoc4,stringsearch-cabce,300884,969104,3.2209,0.00430,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
