Lab1-Task2/bsize32_size16k_assoc4,bsize32_size16k_assoc4,stringsearch-cabce,300884,1110343,3.6903,0.00792,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize32_size16k_assoc8,bsize32_size16k_assoc8,dijkstra,54881769,222982307,4.0630,0.00010,0.01095
Lab1-Task2/bsize32_size16k_assoc8,bsize32_size16k_assoc8,qsort,41898644,246064833,5.8729,0.00002,0.03809
Lab1-Task2/bsize32_size16k_assoc8,bsize32_size16k_assoc8,stringsearch-cabce,300884,901380,2.9958,0.00364,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize32_size32k_assoc1,bsize32_size32k_assoc1,dijkstra,54881769,247128623,4.5029,0.00301,0.01095
Lab1-Task2/bsize32_size32k_assoc1,bsize32_size32k_assoc1,qsort,41898644,254145082,6.0657,0.00146,0.03809
Lab1-Task2/bsize32_size32k_assoc1,bsize32_size32k_assoc1,stringsearch-cabce,300884,1115759,3.7083,0.00800,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize32_size32k_assoc2,bsize32_size32k_assoc2,dijkstra,54881769,222891831,4.0613,0.00009,0.01095
Lab1-Task2/bsize32_size32k_assoc2,bsize32_size32k_assoc2,qsort,41898644,246051769,5.8725,0.00002,0.03809
Lab1-Task2/bsize32_size32k_assoc2,bsize32_size32k_assoc2,stringsearch-cabce,300884,982283,3.2647,0.00517,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize32_size32k_assoc4,bsize32_size32k_assoc4,dijkstra,54881769,222371173,4.0518,0.00003,0.01095
Lab1-Task2/bsize32_size32k_assoc4,bsize32_size32k_assoc4,qsort,41898644,246046176,5.8724,0.00002,0.03809
Lab1-Task2/bsize32_size32k_assoc4,bsize32_size32k_assoc4,stringsearch-cabce,300884,817750,2.7178,0.00214,0.00340
DIR,CFG,BENCHMARK,sim_num_insn,sim_cycle,sim_CPI,mpi_il1,mpi_dl1
Lab1-Task2/bsize32_size32k_assoc8,bsize32_size32k_assoc8,dijkstra,54881769,222271190,4.0500,0.00002,0.01095
Lab1-Task2/bsize32_size32k_assoc8,bsize32_size32k_assoc8,qsort,41898644,246045550,5.8724,0.00002,0.03809
Lab1-Task2/bsize32_size32k_assoc8,bsize32_size32k_assoc8,stringsearch-cabce,300884,817750,2.7178,0.00214,0.00340
